E02,#FAF4C8
E01,#FFFFD5
E05,#FEFF8B
E07,#FBED56
E08,#FFDA45
E04,#FFF365
E03,#FFFF9F
E06,#FFE36E
E09,#FFD568
E10,#FFE395
E11,#F4F57D
E12,#E6C9B7
E13,#F7F8A2
E14,#FFD67D
E15,#FFC830
D03,#F4D738
D05,#FEAC4C
D08,#FE8B4C
D06,#FF995B
D07,#F77C31
D01,#FFDD99
D04,#FFC365
D02,#FEBE7D
K09,#FE9F72
K10,#FD7C72
K03,#FDD3CC
K15,#FEC0DF
K17,#FFB7E7
K21,#E8649E
K19,#F551A2
K22,#F13D74
K25,#C63478
K12,#FFDBE9
K18,#E970CC
K23,#D33793
K02,#FCDDD2
K16,#F78FC3
K24,#B5006D
K05,#FFD1BA
K04,#F8C7C9
K01,#FFF3EB
K11,#FFE2EA
K13,#FFC7DB
K14,#FEBAD5
K26,#D8C7D1
K27,#BD9DA1
K28,#B785A1
K29,#937A8D
K30,#E1BCE8
K08,#FD957B
K20,#E2677A
K07,#FFA9AD
K06,#FEC2A6
K31,#E69C79
K32,#D37C46
K33,#C1444A
K34,#CD9391
K35,#F7B4C6
K36,#FDC0D0
K37,#F67E66
K38,#E698AA
K39,#E54B4F
C05,#FD543D
C02,#FC3D46
C03,#F74941
C06,#FC283C
C07,#E7002F
C10,#971937
C09,#BC0028
C01,#FD4E6A
C04,#F35744
C08,#D30022
F05,#E6EE31
F08,#63F347
F04,#9EF780
F09,#5DE035
F10,#35E352
F11,#1C9C4F
F16,#27523A
F14,#5D722A
F12,#166F41
F02,#CAEB7B
F06,#ADE946
F15,#2E5132
F03,#C5ED9C
F13,#9BB13A
F07,#E6EE49
F17,#303A21
F01,#EEFCA5
F18,#4E846D
F19,#8D7A35
F20,#CCE1AF
F21,#9EE5B9
F22,#C5E254
F23,#E2FCB1
F24,#B0E792
F25,#9CAB5A
G04,#65E2A6
G05,#3DAF80
G03,#95D3C2
G06,#24B88C
G02,#C2F0CC
G07,#156A6B
G08,#0B3C43
G01,#E8FFE7
H03,#A9F9FC
H04,#A0E2FB
H05,#41CCFF
H07,#01ACEB
H08,#50AAF0
H13,#3677D2
H14,#0F54C0
H16,#324BCA
H09,#3EBCE2
H10,#28DDDE
H23,#1C334D
H01,#CDE8FF
H02,#D5FDFF
H11,#22C4C6
H18,#1557A8
H19,#04D1F6
H24,#1D3344
H12,#1887A2
H17,#176DAF
H06,#BEDDFF
H25,#67B4BE
H26,#C8E2FF
H27,#7CC4FF
H28,#A9E5E5
H29,#3CAED8
H30,#D3DFFA
H31,#BBCFED
H32,#34488E
H15,#2F54AF
H20,#182A84
H22,#2F1F90
H21,#333A95
J07,#AEB4F2
J08,#858EDD
J12,#B843C5
J11,#AC7BDE
J15,#8854B3
J03,#E2D3FF
J04,#D5B9F8
J19,#361851
J06,#B9BAE1
J10,#DE9AD4
J14,#B90095
J16,#8B279B
J01,#E3E1EE
J05,#C4D4F6
J13,#A45EC7
J09,#D8C3D7
J17,#9C32B2
J18,#9A009B
J02,#EBDAFC
J20,#7786E5
J21,#494FC7
J22,#DFC2F8
Z21,#943630
Z20,#8A4526
Z23,#5A2121
Z02,#FFE2CE
Z05,#FFC4AA
Z06,#F4C3A5
Z08,#E1B383
Z10,#EDB045
Z11,#E99C17
Z18,#9D5B3E
Z22,#753832
Z09,#E6B483
Z15,#D98C39
Z07,#E0C593
Z13,#FFC890
Z14,#B7714A
Z17,#8D614C
Z03,#FCF9E0
Z04,#F2D9BA
Z16,#78524B
Z01,#FFE4CC
Z12,#E07935
Z19,#A94023
Z24,#B88558
A02,#FDFBFF
A01,#FEFFFF
A09,#E7D6DB
A08,#EDEDED
A10,#EEE9EA
A04,#FFF5ED
A06,#F5ECD2
A07,#F1EDED
A03,#FFFDF0
A05,#F6EFE2
A11,#FFFBE1
A12,#CACAD4
B03,#B6B1BA
B05,#89858C
B06,#48464E
B07,#2F2B2F
B09,#000000
B01,#CECDD5
B02,#CFD7D3
B04,#98A6A8
B08,#1D1414
B10,#949FA3
B11,#9A9D94
Y01,#BCC6B8
Y02,#8AA386
Y03,#697D80
Y04,#E3D2BC
Y05,#D0CCAA
Y06,#B0A782
Y07,#B4A497
Y08,#B38281
Y09,#A58767
Y10,#C5B2BC
Y11,#9F7594
Y12,#644749
Y13,#D19066
Y14,#C77362
Y15,#757D78
M01,#FCF7F8
M02,#B0A9AC
M03,#AFDCAB
M04,#FEA49F
M05,#EE8C3E
M06,#5FD0A7
M07,#EB9270
M08,#F0D958
M09,#D9D9D9
M10,#D9C7EA
M11,#F3ECC9
M12,#E6EEF2
M13,#AACBEF
M14,#337680
M15,#668575
M16,#FEBF45
M17,#FEA324
M18,#FEB89F
M19,#FFFEEC
M21,#FEBECF
M20,#ECBEBF
M22,#E4A89F
M23,#A56268
W3,#F2A5E8
W4,#E9EC91
W1,#FFFF00
W2,#FFEBFA
W5,#76CEDE
L01,#D50D21
L02,#F92F83
L03,#FD8324
L04,#F8EC31
L05,#35C75B
L06,#238891
L07,#19779D
L08,#1A60C3
L09,#9A56B4
L10,#FFDB4C
L11,#FFEBFB
L12,#D8D5CE
L13,#55514C
L14,#FFFFFF
S1,#9FE4DF
S2,#77CEE9
S3,#3ECFCA
S4,#4A867A
S5,#7FCD9D
S6,#CDE55D
S7,#E8C7B4
S8,#AD6F3C
S9,#6C372F
S10,#FEB872
S11,#F3C1C0
S12,#C9675E
S13,#D293BE
S14,#EA8CB1
S15,#9C87D6
N01,#FD6FB4
N02,#FEB481
N03,#D7FAA0
N04,#8BDBFA
N05,#E987EA
GB1,#DAABB3
GB2,#D6AA87
GB3,#C1BD8D
GB4,#96869F
GB5,#8490A6
GB6,#94BFE2
GB7,#E2A9D2
GB8,#AB91C0
